paymentID,paymentDate,payment method,amount,transictionID,orderID
5781,"Sep 28, 2023",trade,$5305.88,6308,3294
5451,"Feb 13, 2025",credit,$8107.73,6345,3764
5645,"Sep 26, 2024",cash,$1001.88,6476,3162
5580,"Mar 4, 2024",cash,$8866.08,6780,3259
5644,"Jan 17, 2024",stocks,$8234.82,6438,3413
5416,"Jan 29, 2025",credit,$3218.71,6342,3427
5446,"Jul 11, 2023",cash,$1285.02,6317,3326
5543,"Nov 17, 2023",stocks,$7602.78,6023,3500
5408,"Dec 2, 2023",stocks,$6923.06,6536,3987
5414,"Aug 21, 2023",credit,$5782.47,6610,3965
5079,"Sep 12, 2024",cash,$1308.10,6430,3689
5013,"Feb 1, 2024",stocks,$4480.88,6275,3264
5609,"Jan 16, 2025",cash,$1729.87,6262,3303
5584,"Apr 23, 2024",stocks,$5829.83,6893,3850
5142,"Nov 25, 2023",credit,$3889.51,6591,3439
5657,"Dec 7, 2023",credit,$7964.47,6724,3747
5559,"Aug 25, 2023",credit,$3517.82,6501,3433
5291,"Feb 1, 2025",trade,$4449.12,6237,3508
5991,"Sep 6, 2023",credit,$4940.24,6593,3586
5151,"Mar 28, 2024",credit,$2407.14,6692,3354
5061,"May 1, 2025",trade,$5649.62,6733,3268
5569,"Nov 29, 2023",trade,$3726.90,6846,3463
5019,"Aug 7, 2023",cash,$5285.71,6671,3240
5998,"Dec 30, 2023",stocks,$5055.67,6589,3847
5422,"Mar 20, 2024",cash,$8978.45,6350,3113
5864,"Feb 28, 2025",trade,$4069.90,6615,3791
5028,"Oct 16, 2024",cash,$6750.64,6821,3974
5161,"Dec 17, 2024",credit,$3452.65,6515,3473
5167,"Sep 3, 2024",credit,$6824.51,6044,3884
5037,"Sep 2, 2024",cash,$4738.43,6596,3663
5240,"Aug 15, 2023",trade,$9063.31,6995,3363
5741,"Jul 10, 2024",stocks,$1292.69,6622,3860
5256,"Mar 2, 2024",credit,$2179.71,6973,3683
5546,"Apr 29, 2024",trade,$1845.21,6300,3816
5318,"Apr 28, 2024",stocks,$6133.29,6742,3344
5889,"Jun 30, 2023",cash,$7417.66,6655,3655
5375,"May 26, 2023",trade,$7702.49,6177,3449
5445,"Oct 6, 2024",cash,$1562.28,6036,3085
5675,"Apr 22, 2024",stocks,$6494.96,6172,3771
5709,"Oct 30, 2023",trade,$7508.69,6215,3664
5274,"Mar 2, 2024",credit,$3507.06,6865,3535
5578,"Sep 12, 2024",stocks,$3120.99,6939,3003
5688,"Sep 3, 2024",cash,$2196.63,6356,3225
5468,"Nov 16, 2023",trade,$8593.15,6027,3516
5953,"Nov 7, 2023",trade,$5095.42,6646,3071
5061,"Jul 20, 2023",credit,$9238.47,6735,3470
5452,"Jul 7, 2024",trade,$4576.56,6282,3383
5781,"Dec 31, 2023",trade,$4036.60,6918,3706
5144,"Mar 7, 2024",trade,$6487.89,6647,3664
5908,"Apr 20, 2024",credit,$8613.44,6464,3912
5382,"Nov 19, 2023",stocks,$5305.76,6630,3404
5121,"Jun 28, 2024",trade,$2807.00,6461,3267
5279,"Mar 17, 2025",trade,$9816.65,6119,3384
5665,"Feb 17, 2025",trade,$8523.97,6342,3078
5921,"Jul 31, 2023",trade,$3385.25,6649,3620
5946,"Oct 29, 2023",trade,$1626.65,6814,3772
5638,"Feb 19, 2024",stocks,$4324.54,6958,3702
5716,"Aug 6, 2023",cash,$3065.67,6317,3772
5682,"Jan 2, 2024",trade,$2132.38,6551,3868
5544,"Jun 26, 2024",credit,$8119.35,6406,3355
5716,"Nov 8, 2024",credit,$1663.38,6433,3665
5231,"Sep 4, 2024",stocks,$9920.92,6033,3377
5257,"Dec 7, 2024",cash,$7202.41,6497,3658
5070,"Apr 2, 2025",stocks,$9531.37,6258,3690
5342,"Jun 30, 2023",stocks,$6318.51,6575,3913
5860,"Dec 4, 2024",credit,$8355.77,6592,3865
5728,"Mar 4, 2024",credit,$6790.26,6300,3279
5379,"Jan 22, 2025",stocks,$4551.06,6538,3922
5013,"Apr 26, 2025",trade,$9392.00,6691,3041
5079,"Jun 1, 2024",cash,$6505.20,6632,3033
5846,"Jul 17, 2024",credit,$1307.89,6120,3523
5609,"Jul 23, 2024",stocks,$3981.60,6216,3143
5442,"Dec 26, 2023",trade,$2403.88,6783,3672
5233,"Jul 10, 2023",stocks,$9100.87,6395,3857
5081,"Jul 14, 2023",trade,$8402.13,6123,3331
5653,"Apr 21, 2025",credit,$1633.27,6402,3223
5592,"Jan 1, 2024",trade,$8932.28,6845,3089
5957,"Mar 16, 2025",cash,$3725.30,6335,3009
5963,"May 30, 2023",stocks,$5136.69,6433,3022
5818,"May 11, 2024",stocks,$3054.90,6900,3792
5512,"Sep 7, 2023",trade,$9624.21,6954,3798
5152,"Aug 26, 2024",stocks,$8437.68,6160,3124
5028,"Nov 3, 2023",stocks,$7508.55,6869,3772
5289,"Jan 19, 2024",trade,$1954.36,6710,3619
5296,"Jun 16, 2023",credit,$2727.31,6771,3744
5111,"Nov 2, 2024",trade,$9093.94,6353,3554
5806,"Jun 11, 2023",cash,$9662.59,6939,3122
5470,"Feb 6, 2024",stocks,$7031.31,6553,3349
5940,"Jul 15, 2023",cash,$8090.79,6273,3353
5229,"Sep 29, 2023",trade,$9293.29,6548,3090
5296,"Oct 27, 2023",credit,$3769.82,6957,3613
5336,"Sep 24, 2024",stocks,$5822.48,6846,3074
5361,"Jan 2, 2025",trade,$4394.28,6002,3977
5468,"Jul 7, 2024",trade,$5846.12,6178,3627
5789,"Feb 27, 2025",credit,$2438.97,6143,3359
5064,"Aug 25, 2023",stocks,$3732.02,6058,3804
5732,"Dec 2, 2023",cash,$4024.20,6893,3122
5180,"Jan 10, 2024",credit,$4388.71,6809,3849
5927,"May 13, 2025",cash,$1132.11,6526,3596
5880,"Jan 5, 2025",credit,$1405.04,6605,3241
